Date,Total Value of Portfolio,Cash on Hand,Shares Owned,Amount in Shares,Unrealised Profit,Realised Profit,Total Growth Rate,Benchmark Growth Rate
2017-05-03,10000.0,10000.0,[],0.0,0.0,0,0.0,0
2017-05-04,10000.0,10000.0,[],0.0,0.0,0,0.0,0.09
2017-05-05,10000.0,10000.0,[],0.0,0.0,0,0.0,0.49
2017-05-08,10000.0,10000.0,[],0.0,0.0,0,0.0,0.5
2017-05-09,10000.0,10000.0,[],0.0,0.0,0,0.0,0.37
2017-05-10,10000.0,10000.0,[],0.0,0.0,0,0.0,0.56
2017-05-11,10000.0,10000.0,[],0.0,0.0,0,0.0,0.35
2017-05-12,10000.0,10000.0,[],0.0,0.0,0,0.0,0.2
2017-05-15,10000.0,10000.0,[],0.0,0.0,0,0.0,0.7
2017-05-16,10000.0,10000.0,[],0.0,0.0,0,0.0,0.68
2017-05-17,10000.0,10000.0,[],0.0,0.0,0,0.0,-1.1
2017-05-18,10000.0,10000.0,[],0.0,0.0,0,0.0,-0.74
2017-05-19,10000.0,10000.0,[],0.0,0.0,0,0.0,-0.12
2017-05-22,10000.0,10000.0,[],0.0,0.0,0,0.0,0.43
2017-05-23,10000.0,10000.0,[],0.0,0.0,0,0.0,0.63
2017-05-24,10000.0,10000.0,[],0.0,0.0,0,0.0,0.87
2017-05-25,10000.0,10000.0,[],0.0,0.0,0,0.0,1.34
2017-05-26,10000.0,10000.0,[],0.0,0.0,0,0.0,1.35
2017-05-30,10000.0,10000.0,[],0.0,0.0,0,0.0,1.25
2017-05-31,10000.0,10000.0,[],0.0,0.0,0,0.0,1.23
2017-06-01,10000.0,10000.0,[],0.0,0.0,0,0.0,2.02
2017-06-02,10000.0,10000.0,[],0.0,0.0,0,0.0,2.34
2017-06-05,10000.0,10000.0,[],0.0,0.0,0,0.0,2.27
2017-06-06,10000.0,10000.0,[],0.0,0.0,0,0.0,1.98
2017-06-07,10000.0,10000.0,[],0.0,0.0,0,0.0,2.15
2017-06-08,10000.0,10000.0,[],0.0,0.0,0,0.0,2.18
2017-06-09,10000.0,10000.0,[],0.0,0.0,0,0.0,2.06
2017-06-12,10000.0,10000.0,[],0.0,0.0,0,0.0,2.02
2017-06-13,10000.0,10000.0,[],0.0,0.0,0,0.0,2.52
2017-06-14,10000.0,10000.0,[],0.0,0.0,0,0.0,2.41
2017-06-15,10000.0,10000.0,[],0.0,0.0,0,0.0,2.21
2017-06-16,10000.0,10000.0,[],0.0,0.0,0,0.0,2.23
2017-06-19,10000.0,10000.0,[],0.0,0.0,0,0.0,3.07
2017-06-20,10000.0,10000.0,[],0.0,0.0,0,0.0,2.39
2017-06-21,10000.0,10000.0,[],0.0,0.0,0,0.0,2.35
2017-06-22,10000.0,10000.0,[],0.0,0.0,0,0.0,2.29
2017-06-23,10000.0,10000.0,[],0.0,0.0,0,0.0,2.47
2017-06-26,10000.0,10000.0,[],0.0,0.0,0,0.0,2.5
2017-06-27,10000.0,10000.0,[],0.0,0.0,0,0.0,1.68
2017-06-28,10000.0,10000.0,[],0.0,0.0,0,0.0,2.58
2017-06-29,10000.0,10000.0,[],0.0,0.0,0,0.0,1.7
2017-06-30,10000.0,10000.0,[],0.0,0.0,0,0.0,1.87
2017-07-03,10000.0,10000.0,[],0.0,0.0,0,0.0,2.09
2017-07-05,10000.0,10000.0,[],0.0,0.0,0,0.0,2.27
2017-07-06,10000.0,10000.0,[],0.0,0.0,0,0.0,1.35
2017-07-07,10000.0,10000.0,[],0.0,0.0,0,0.0,1.99
2017-07-10,10000.0,10000.0,[],0.0,0.0,0,0.0,2.1
2017-07-11,10000.0,10000.0,[],0.0,0.0,0,0.0,2.02
2017-07-12,10000.0,10000.0,[],0.0,0.0,0,0.0,2.79
2017-07-13,10000.0,10000.0,[],0.0,0.0,0,0.0,2.96
2017-07-14,10000.0,10000.0,[],0.0,0.0,0,0.0,3.43
2017-07-17,10000.0,10000.0,[],0.0,0.0,0,0.0,3.44
2017-07-18,10000.0,10000.0,[],0.0,0.0,0,0.0,3.52
2017-07-19,10000.0,10000.0,[],0.0,0.0,0,0.0,4.07
2017-07-20,10000.0,10000.0,[],0.0,0.0,0,0.0,4.1
2017-07-21,10000.0,8114.6,['NFLX'],1885.4,0.0,0,0.0,4.03
2017-07-24,9993.7,8114.6,['NFLX'],1879.1,-6.3,0,-0.06,3.99
2017-07-25,9984.3,8114.6,['NFLX'],1869.7,-15.7,0,-0.16,4.24
2017-07-26,10005.4,8114.6,['NFLX'],1890.8,5.4,0,0.05,4.27
2017-07-27,9941.4,8114.6,['NFLX'],1826.8,-58.6,0,-0.59,4.14
2017-07-28,9955.0,8114.6,['NFLX'],1840.4,-45.0,0,-0.45,4.03
2017-07-31,9931.2,8114.6,['NFLX'],1816.6,-68.8,0,-0.69,3.97
2017-08-01,9934.9,8114.6,['NFLX'],1820.3,-65.1,0,-0.65,4.2
2017-08-02,9922.0,8114.6,['NFLX'],1807.4,-78.0,0,-0.78,4.26
2017-08-03,9906.9,8114.6,['NFLX'],1792.3,-93.1,0,-0.93,4.08
2017-08-04,9917.3,8114.6,['NFLX'],1802.7,-82.7,0,-0.83,4.25
2017-08-07,9927.9,8114.6,['NFLX'],1813.3,-72.1,0,-0.72,4.42
2017-08-08,9898.2,8114.6,['NFLX'],1783.6,-101.8,0,-1.02,4.21
2017-08-09,9872.4,8114.6,['NFLX'],1757.8,-127.6,0,-1.28,4.15
2017-08-10,9806.0,8114.6,['NFLX'],1691.4,-194.0,0,-1.94,2.72
2017-08-11,9828.6,8114.6,['NFLX'],1714.0,-171.4,0,-1.71,2.86
2017-08-14,9824.6,8114.6,['NFLX'],1710.0,-175.4,0,-1.75,3.87
2017-08-15,9799.6,8114.6,['NFLX'],1685.0,-200.4,0,-2.0,3.88
2017-08-16,9814.4,8114.6,['NFLX'],1699.8,-185.6,0,-1.86,4.04
2017-08-17,9775.5,8114.6,['NFLX'],1660.9,-224.5,0,-2.24,2.42
2017-08-18,9780.0,8114.6,['NFLX'],1665.4,-220.0,0,-2.2,2.24
2017-08-21,9782.2,8114.6,['NFLX'],1667.6,-217.8,0,-2.18,2.36
2017-08-22,9808.0,8114.6,['NFLX'],1693.4,-192.0,0,-1.92,3.4
2017-08-23,9805.2,8114.6,['NFLX'],1690.6,-194.8,0,-1.95,3.04
2017-08-24,9795.9,8114.6,['NFLX'],1681.3,-204.1,0,-2.04,2.81
2017-08-25,9774.1,8114.6,['NFLX'],1659.5,-225.9,0,-2.26,3.03
2017-08-28,9785.8,8114.6,['NFLX'],1671.2,-214.2,0,-2.14,3.07
